feature,dtype,tier,prediction_available
comech_fail_rate_mean,float64,1_POSTHOC_outcome_derived,False
n_mech_peers,float64,4_INTRINSIC_deployable,True
has_comech_evidence,int64,4_INTRINSIC_deployable,True
comech_coverage,str,ID_or_meta,False
has_animal_model_evidence,float64,4_INTRINSIC_deployable,True
animal_model_concordance,float64,4_INTRINSIC_deployable,True
human_genetic_support,float64,4_INTRINSIC_deployable,True
animal_only_evidence,float64,4_INTRINSIC_deployable,True
ko_no_nervous_pheno,float64,4_INTRINSIC_deployable,True
model_exists_low_concordance,float64,4_INTRINSIC_deployable,True
impc_has_ko,float64,4_INTRINSIC_deployable,True
impc_has_nervous_phenotype,float64,4_INTRINSIC_deployable,True
drug_any_smallmol,int64,4_INTRINSIC_deployable,True
drug_any_biologic,int64,4_INTRINSIC_deployable,True
drug_n_tagged,int64,4_INTRINSIC_deployable,True
has_drug_modality,int64,4_INTRINSIC_deployable,True
n_patent_docs,int64,1_POSTHOC_outcome_derived,False
n_patent_years,int64,1_POSTHOC_outcome_derived,False
earliest_patent_year,float64,1_POSTHOC_outcome_derived,False
latest_patent_year,float64,1_POSTHOC_outcome_derived,False
has_patent,int64,1_POSTHOC_outcome_derived,False
patent_span_years,float64,1_POSTHOC_outcome_derived,False
log_n_patents,float64,1_POSTHOC_outcome_derived,False
patent_coverage,str,ID_or_meta,False
n_act,int64,4_INTRINSIC_deployable,True
n_ligands,int64,3_REALIZED_INVESTMENT_survivorship,False
max_pchembl,float64,3_REALIZED_INVESTMENT_survivorship,False
median_pchembl,float64,3_REALIZED_INVESTMENT_survivorship,False
n_potent_6,int64,4_INTRINSIC_deployable,True
n_potent_7,int64,4_INTRINSIC_deployable,True
has_ligand,int64,3_REALIZED_INVESTMENT_survivorship,False
is_ligandable,int64,3_REALIZED_INVESTMENT_survivorship,False
log_n_ligands,float64,3_REALIZED_INVESTMENT_survivorship,False
ligand_coverage,str,ID_or_meta,False
ot_sm_tractable,int32,3_REALIZED_INVESTMENT_survivorship,False
ot_ab_tractable,int32,3_REALIZED_INVESTMENT_survivorship,False
sm_druggable_family,object,ID_or_meta,False
sm_hq_pocket,object,ID_or_meta,False
sm_approved_drug,object,ID_or_meta,False
ab_surface_highconf,object,ID_or_meta,False
ab_approved_drug,object,ID_or_meta,False
pr_sm_binder,object,ID_or_meta,False
loc_secreted,object,ID_or_meta,False
loc_membrane,object,ID_or_meta,False
n_transmembrane,float64,4_INTRINSIC_deployable,True
sm_tractable,int64,3_REALIZED_INVESTMENT_survivorship,False
ab_tractable,int64,3_REALIZED_INVESTMENT_survivorship,False
is_surface_or_secreted,int64,4_INTRINSIC_deployable,True
sm_only_tractable,int64,3_REALIZED_INVESTMENT_survivorship,False
ab_only_tractable,int64,3_REALIZED_INVESTMENT_survivorship,False
both_modalities,int64,4_INTRINSIC_deployable,True
modality_class,str,ID_or_meta,False
ipr_n_family,float64,4_INTRINSIC_deployable,True
ipr_n_domain,float64,4_INTRINSIC_deployable,True
iprfam_g_protein-coupled_receptor_rhodopsin-lik,float64,4_INTRINSIC_deployable,True
iprfam_neurotransmitter-gated_ion-channel,float64,1_POSTHOC_outcome_derived,False
iprfam_5-hydroxytryptamine_receptor_family,float64,4_INTRINSIC_deployable,True
iprfam_adrenoceptor_family,float64,4_INTRINSIC_deployable,True
iprfam_ionotropic_glutamate_receptor_metazoa,float64,4_INTRINSIC_deployable,True
iprfam_ionotropic_glutamate_receptor,float64,4_INTRINSIC_deployable,True
iprfam_peptidase_s1a_chymotrypsin_family,float64,4_INTRINSIC_deployable,True
iprfam_gamma-aminobutyric_acid_a_receptor/glyci,float64,4_INTRINSIC_deployable,True
